PostalCode,MeanCrimes,SumCrimes,SuburbName,Latitude,Longitude,DistCityCenter
3760,4.4,22,Smiths Gully,-37.5478739,145.2691533,40.200978581074246
3891,6.8,34,Koo Wee Rup North,-38.189865000000005,145.470198500526,58.91107624805851
3789,7.4,37,Sherbrooke,-37.6572776,145.42656110000001,43.616280190732574
3785,10.0,50,Tremont,-37.77946,145.71941172413798,65.21306842938253
3920,10.4,52,HMAS Cerberus,-38.40234,144.965533868726,63.943174554022335
3928,11.2,56,Main Ridge,-38.3998558,145.09867749999998,64.4982501586889
3778,17.2,86,Kinglake West,-37.6091125,145.18292490000002,30.158767747396674
3778,17.2,86,Fernshaw,-37.8821539,145.3353111,31.80135822796657
3755,18.0,90,Yan Yean,-37.6375473,145.1349293,25.15420396217469
3755,18.0,90,Woodstock,-37.86657039999999,144.6949625,25.395749431423425
3430,20.0,100,Clarkefield,-37.465415,144.76960275978,44.332088106563226
3063,22.0,110,Oaklands Junction,-37.5916891,144.841268461542,28.93064616753455
3063,22.0,110,Yuroke,-37.5924148,144.883589068957,27.49172251874753
3766,22.6,113,Kalorama,-37.780676899999996,145.56919209999998,52.05317443376082
3779,22.8,114,Cambarville,-37.6364618,145.5188488,51.95952310408471
3787,24.4,122,Sassafras,-37.8678412,145.35680390000002,33.40873870367859
3787,24.4,122,Sassafras,-37.888444799999995,145.3593565,34.00758207902676
3761,25.4,127,St Andrews,-37.604117200000005,145.2678984,35.49568517090353
3759,25.6,128,Panton Hill,-37.6674499,145.1123773,21.283117205447365
3097,29.6,148,Bend of Islands,-37.65814,145.307188707865,34.408652436296336
3097,29.6,148,Kangaroo Ground,-37.5327424,145.34113100000002,45.679875482135046
3097,29.6,148,Watsons Creek,-37.569134000000005,145.107832,30.871338351293822
3813,32.6,163,Tynong,-38.094584999999995,145.638755252879,64.9675260346721
3813,32.6,163,Tynong North,-38.02976655,145.637866604289,61.95523583976159
3916,32.6,163,Merricks,-38.3998558,145.09867749999998,64.4982501586889
3916,32.6,163,Point Leo,-38.3799499,145.0264267,61.57556494267629
3916,32.6,163,Shoreham,-38.3923474,145.1726499,65.04579653603473
3791,32.8,164,Kallista,-37.8194174,145.372162,34.47901766169391
3795,36.0,180,Silvan,-37.8901143,145.3912949,36.79463832359431
3786,40.0,200,Ferny Creek,-37.854707299999994,145.7128179,64.45174419487232
3987,41.2,206,Nyora,-38.3347289,145.67089030000002,82.71863392304009
3767,43.2,216,Mount Dandenong,-37.96297925,145.358052706164,36.452623165412696
3792,44.4,222,The Patch,-37.8788598,145.3157699,30.047517765224985
3096,46.6,233,Wattle Glen,-37.700485,145.2777398125,29.762571121913897
3927,47.2,236,Somers,-38.297585,145.091226149873,53.18129348767711
3833,50.8,254,Toorongo,-37.7806025,145.42629340000002,39.57939910956246
3091,51.0,255,Yarrambat,-37.84520620000001,144.957105,2.80135346502142
3929,56.2,281,Flinders,-38.382085,145.194820337715,64.48360439374163
3937,58.2,291,Red Hill,-38.40638,145.029194632565,64.52484130963532
3937,58.2,291,Red Hill South,-38.4247467,145.0554939,66.75196510786952
3944,64.8,324,Portsea,-38.3710325,144.9095115,60.761442391184225
3159,67.2,336,Menzies Creek,-37.9190646,145.40682040000002,38.84391589866714
3159,67.2,336,Selby,-37.9030367,145.34467959999998,33.116200832260844
3428,67.6,338,Bulla,-15.7657897,130.039766,2858.4227577026113
3763,72.4,362,Kinglake,-37.4778011,145.255932344565,45.87398247278135
3812,74.8,374,Maryknoll,-38.03572,145.60193640646298,59.28255870752736
3812,74.8,374,Nar Nar Goon,-38.110034999999996,145.574791685593,60.897359521831405
3812,74.8,374,Nar Nar Goon North,-38.029435,145.56357211039,55.91722755594737
3788,81.4,407,Olinda,-37.8678412,145.35680390000002,33.40873870367859
3933,86.6,433,Moorooduc,-38.4190327,145.07525859999998,66.31503280773977
3114,88.4,442,Park Orchards,-37.7769195,145.2146209,21.386802555097862
3114,88.4,442,Park Orchards,-37.7769195,145.2146209,21.386802555097862
3115,89.2,446,Wonga Park,-37.7356804,145.269802,27.460739353630718
3926,90.0,450,Balnarring,-38.395945000000005,145.113191146907,64.2873973559376
3926,90.0,450,Balnarring Beach,-38.20100789999999,145.1568582,44.338909892920846
3926,90.0,450,Merricks Beach,-38.34129,145.071874766734,57.70558069124687
3926,90.0,450,Merricks North,-38.245684999999995,145.11613426233,48.01456750628897
3808,90.8,454,Beaconsfield Upper,-37.998734999999996,145.42521466494802,43.47172757545461
3090,92.0,460,Plenty,-37.579440000000005,145.28584035,38.557164612563376
3783,92.4,462,Gembrook,-37.9685261,145.495700419905,47.91321428794344
3211,93.0,465,Little River,-37.89967670000001,144.554854,38.17196048327617
3770,105.6,528,Coldstream,-37.63870120000001,145.3978013,42.34244316894959
3770,105.6,528,Gruyere,-37.6537218,145.5161533,50.97962578250592
3775,110.8,554,Christmas Hills,-37.6234258,145.2175327,30.866064940804996
3775,110.8,554,Dixons Creek,-37.7608659,145.58687319999999,53.86552944755151
3775,110.8,554,Steels Creek,-37.85718,145.696878650087,63.06598428375924
3775,110.8,554,Tarrawarra,-37.888724700000004,146.03167240000002,92.61678685156988
3775,110.8,554,Yarra Glen,-37.6887134,145.3746571,37.99687850460192
3942,112.0,560,Blairgowrie,-38.373724100000004,144.8755654,61.43004480642456
3815,113.8,569,Bunyip,-38.0971242,145.7208993,71.56695986296907
3815,113.8,569,Bunyip North,-38.0971242,145.7208993,71.56695986296907
3815,113.8,569,Iona,-38.161365,145.686712776183,72.2311973705728
3815,113.8,569,Tonimbuk,-38.031209999999994,145.727912634901,69.42714019474508
3938,114.4,572,McCrae,-38.219796200000005,145.04125919999998,43.957677544276464
3814,114.8,574,Cora Lynn,-38.1436888,145.60427109999998,65.05923677600255
3814,114.8,574,Garfield,-38.0898677,145.676222,67.68022264491108
3814,114.8,574,Garfield North,-38.03934,145.685876546336,66.26485650880487
3814,114.8,574,Vervale,-37.7129383,144.9735871,12.760654688703186
3753,116.6,583,Beveridge,-37.48874,145.066544844465,38.45078209572559
3202,131.2,656,Heatherton,-37.9560844,145.09320669999997,17.417028347458555
3723,134.0,670,Matlock,-37.75150120000001,145.6612026,60.48361482571069
3918,136.0,680,Bittern,-38.352358200000005,145.2029503,61.55191993098946
3093,142.0,710,Lower Plenty,-37.738843700000004,145.116224,15.526245918583925
3793,151.0,755,Monbulk,-37.829176600000004,145.35388369999998,32.85955346434632
3980,155.8,779,Blind Bight,-38.2142175,145.3377629,53.2264397548625
3980,155.8,779,Tooradin,-38.2138303,145.38168269999997,55.54762605064624
3980,155.8,779,Warneet,-38.2213749,145.3117316,52.575859075626774
3154,160.4,802,The Basin,-37.8556937,145.3214075,30.163340415286736
3797,166.2,831,Gilderoy,-37.84282725,145.635089993066,57.58330587492414
3797,166.2,831,Gladysdale,-37.72896,145.46342348646002,43.90294420985104
3797,166.2,831,Powelltown,-37.778204200000005,145.45940009999998,42.499451034819934
3797,166.2,831,Three Bridges,-37.814209999999996,145.455768902598,41.84047389505266
3816,182.6,913,Longwarry,-38.111138700000005,145.77059530000002,76.1721088201876
3816,182.6,913,Modella,-38.186439299999996,145.7150142,75.791488964083
3427,184.2,921,Diggers Rest,-37.61394,144.68218643815598,35.36106147737834
3099,186.8,934,Hurstbridge,-37.725853799999996,145.21554630000003,23.607131077827937
3099,186.8,934,Cottles Bridge,-37.5963874,145.1428928,29.443448444270736
3099,186.8,934,Nutfield,-37.6413636,145.23904130000003,30.8006415810222
3099,186.8,934,Strathewen,-37.5333775,145.46724809999998,53.95724950132797
3062,187.0,935,Somerton,-37.634688,144.9507961,21.604023375060077
3102,188.0,940,Kew East,-37.7904215,145.0527906,7.624792644574433
3113,189.6,948,Warrandyte,-37.7585968,145.22762818933,23.088945877450445
3113,189.6,948,North Warrandyte,-37.706655700000006,145.189067,22.78605954050393
3919,189.8,949,Crib Point,-38.307488,145.19020030000001,56.469205607076674
3781,196.6,983,Cockatoo,-37.9299135,145.5127551,48.149505462656755
3781,196.6,983,Mount Burnett,-34.894199799999996,116.56314209999998,2556.163627624403
3781,196.6,983,Nangana,-37.8755206,145.53250740000001,48.82854996560073
3913,208.0,1040,Tyabb,-38.36077,144.959730916163,59.333370096511004
3126,220.8,1104,Canterbury,-24.64539,113.9253,3275.98318579248
3943,222.2,1111,Sorrento,-38.3777277,144.8502239,62.23630808271322
3911,225.2,1126,Langwarrin South,-38.189102399999996,145.19106330000002,44.2685798020551
3911,225.2,1126,Baxter,-38.439545,144.903913613841,68.3925496100671
3799,232.0,1160,Big Pats Creek,-37.558170000000004,145.88744169999998,85.31381695639763
3799,232.0,1160,McMahons Creek,-37.598542,146.2077112,110.99947706246508
3799,232.0,1160,Millgrove,-37.874177100000004,145.4286024,39.750870027671496
3799,232.0,1160,Reefton,-37.7743,145.49881090000002,45.99123709921261
3799,232.0,1160,Warburton,-37.7793329,145.53012619999998,48.655209880226046
3799,232.0,1160,Warburton East,-37.6573475,145.37439640000002,39.529810332772996
3799,232.0,1160,Wesburn,-37.7821693,145.6150255,56.0464786416729
3981,237.8,1189,Bayles,-38.176973600000004,145.573224,64.92279981513727
3981,237.8,1189,Catani,-38.1948042,145.6413285,70.91331038356398
3981,237.8,1189,Dalmore,-33.9340667,116.30318989999999,2609.8200448360503
3981,237.8,1189,Heath Hill,-38.24878,145.691397522341,77.97602049432771
3981,237.8,1189,Koo Wee Rup,-38.189865000000005,145.470198500526,58.91107624805851
3027,248.8,1244,Williams Landing,-37.8722432,144.6084185,32.99863634537845
3765,249.6,1248,Montrose,-37.781344700000005,145.32567319999998,30.82217748206913
3094,273.0,1365,Montmorency,-37.7189715,145.12562309999998,17.60981251543367
3804,275.0,1375,Narre Warren North,-38.00196165,145.294660694286,33.75447347738068
3804,275.0,1375,Narre Warren East,-37.8630657,145.7514607,67.88634468763121
3111,276.2,1381,Donvale,-37.789809399999996,145.1914915,19.06557142853836
3158,281.2,1406,Upwey,-37.682925299999994,145.5343263,51.34471756534525
3796,294.0,1470,Mount Evelyn,-37.918760799999994,145.3784097,36.43315645425158
3036,303.0,1515,Keilor,-37.7113545,144.8250696,18.768745411333736
3036,303.0,1515,Keilor North,-37.6816313,144.7930224,23.095352554764986
3984,309.4,1547,Caldermeade,-38.239565,145.54077683333298,67.19224731336354
3984,309.4,1547,Lang Lang,-38.282534999999996,145.572641377871,72.49992952230842
3984,309.4,1547,Monomeith,-38.2206497,145.5106763,63.8337502610792
3750,314.4,1572,Wollert,-37.5460487,145.054426593234,31.991813991362143
3782,317.8,1589,Emerald,-37.93107,145.44888902516502,42.7562820383487
3782,317.8,1589,Avonsleigh,-37.91404,145.482076000566,45.132584962796024
3782,317.8,1589,Clematis,-37.9340691,145.417641,40.21735317548328
3782,317.8,1589,Macclesfield,-37.676665,145.970242595986,88.69928591744629
3940,330.2,1651,Capel Sound,-38.3418285,144.96558380000002,57.214062834516994
3978,339.0,1695,Cardinia,-38.13432,145.421166606992,51.58544077504764
3978,339.0,1695,Clyde,-38.132634499999995,145.3290375,45.700890296112654
3978,339.0,1695,Clyde North,-38.1028681,145.3302814,43.3810722895961
3807,362.4,1812,Beaconsfield,-32.07058405,115.768877507407,2726.9464405902218
3807,362.4,1812,Guys Hill,-38.0142333,145.39060039999998,41.59261789921887
3129,374.6,1873,Box Hill North,-37.8366236,145.1233644,12.647056311345956
3809,375.8,1879,Officer,-38.049175,145.41180221332,45.2029146676044
3809,375.8,1879,Dewhurst,-37.97633,145.47403147614799,46.42038858471085
3809,375.8,1879,Officer South,-38.049175,145.41180221332,45.2029146676044
3107,376.6,1883,Templestowe Lower,-37.7638749,145.1122762,13.624463935086323
3105,387.4,1937,Bulleen,-37.7663109,145.12128101475798,14.174085315939882
3777,390.0,1950,Toolangi,-37.6703909,145.2567324,29.97538961092664
3777,390.0,1950,Badger Creek,-37.8087592,145.5024531,45.96511725223751
3777,390.0,1950,Chum Creek,-37.70355,145.36900333333298,36.89185522242806
3777,390.0,1950,Healesville,-37.782019899999995,145.5759957,52.633047355696974
3777,390.0,1950,Mount Toolebewong,-37.843742,145.3855733,35.68496978147968
3179,405.2,2026,Scoresby,-37.902578600000005,145.21830659999998,22.539340228511143
3151,407.8,2039,Burwood East,-37.836273799999994,145.16909109999997,16.652068562195762
3180,412.0,2060,Knoxfield,-37.889773100000006,145.2496342,24.680734635791502
3757,424.0,2120,Eden Park,-37.50613,145.192174078888,40.34339304979269
3757,424.0,2120,Humevale,-37.5121301,145.1177321,37.124449521445534
3757,424.0,2120,Whittlesea,-37.5939889,145.03373330000002,26.408044004009145
3106,427.6,2138,Templestowe,-37.754058799999996,145.14861519999997,16.936904949786257
3139,433.8,2169,Beenak,-37.764685799999995,145.750752,68.11418174904576
3139,433.8,2169,Don Valley,-37.5762973,144.7145654,36.41531374095839
3139,433.8,2169,Hoddles Creek,-37.8858076,145.37291230000002,35.12027829670589
3139,433.8,2169,Launching Place,-37.881875,145.48988485148502,45.196633802728606
3139,433.8,2169,Seville,-37.8291,145.43776504792402,40.22859691946886
3139,433.8,2169,Seville East,-37.631723,145.3917831,42.27967205730853
3139,433.8,2169,Wandin East,-37.7773898,145.45961614991998,42.53029916704395
3139,433.8,2169,Wandin North,-37.695415000000004,145.693112469387,64.4168524770365
3139,433.8,2169,Woori Yallock,-37.8135132,145.5082046,46.447667838516814
3934,434.8,2174,Mount Martha,-38.32282120000001,144.70042080000002,60.275313452146776
3143,437.2,2186,Armadale,-37.841394,145.03584019999997,5.152986588597456
3167,438.6,2193,Oakleigh South,-37.9103266,145.1895175,20.58257011968864
3034,442.6,2213,Avondale Heights,-37.755963,144.916177904011,9.733528788609384
3049,473.2,2366,Attwood,-37.6670148,144.884862,19.71448140922759
3049,473.2,2366,Westmeadows,-37.6768765,144.8939017,18.38561139492459
3160,485.2,2426,Belgrave,-37.9266116,145.3525247,34.52320545305226
3160,485.2,2426,Belgrave Heights,-37.9424023,145.3573383,35.51384880937401
3160,485.2,2426,Belgrave South,-37.738583500000004,145.31431809999998,31.022011744752803
3160,485.2,2426,Tecoma,-37.9036086,145.3313506,32.002054409346606
3123,486.2,2431,Hawthorn East,-37.8313785,145.04997969999997,6.1749661291163385
3187,487.0,2435,Brighton East,-37.917172799999996,145.01636630000002,10.470269260508893
3335,487.2,2436,Bonnie Brook,-37.699338899999994,144.5405513,41.17646214209378
3335,487.2,2436,Grangefields,-37.65678079999999,144.5525264,42.112881404087844
3335,487.2,2436,Plumpton,-37.7754956,144.73663259999998,22.146078957870273
3335,487.2,2436,Rockbank,-37.7324394,144.5975017,35.23846143395685
3335,487.2,2436,Thornhill Park,-37.602626799999996,144.584952550434,42.81618440163345
3193,497.6,2488,Beaumaris,-37.982212200000006,145.03890980000003,17.965351304203118
3193,497.6,2488,Black Rock,-32.74183,138.8079,795.8503433957459
3022,500.2,2501,Ardeer,-37.775868100000004,144.8014637,16.698861531457986
3103,505.6,2528,Balwyn,-37.8091737,145.08336780000002,9.321911969077586
3103,505.6,2528,Deepdene,-34.27798,115.0504,2708.39970249732
3930,528.8,2644,Mount Eliza,-38.275467600000006,145.0307737,50.018533048540775
3104,537.4,2687,Balwyn North,-37.7919518,145.0842372,9.990801068392342
3059,542.2,2711,Greenvale,-37.6347658,144.8814617,23.12460258148377
3089,544.8,2724,Diamond Creek,-37.6375848,145.19433940000002,28.32751378182982
3087,549.6,2748,Watsonia,-37.7097848,145.0832709,15.945836653672457
3087,549.6,2748,Watsonia North,-37.696046,145.084977,17.303356561579818
3003,549.8,2749,West Melbourne,-37.71939329999999,144.6694023,29.82826462765407
3054,559.2,2796,Carlton North,-37.7845585,144.97285530000002,4.8221081039365234
3054,559.2,2796,Princes Hill,-37.820395500000004,145.00251530000003,2.1441779327600714
3191,567.0,2835,Sandringham,-37.96741225,145.035302528145,16.298914852097163
3127,569.0,2845,Mont Albert,-28.185809999999996,114.35191999999999,3034.6318665777862
3127,569.0,2845,Mont Albert North,-37.8033152,145.1107226,11.810760803462436
3127,569.0,2845,Surrey Hills,-37.8271881,145.09783259999998,10.364627616807107
3116,582.2,2911,Chirnside Park,-37.8037844,145.3134593,29.4317579160908
3161,592.6,2963,Caulfield North,-37.870828,145.02180049999998,6.060756384427183
3045,612.6,3063,Melbourne Airport,-37.667111,144.833480766796,22.004712344861282
3936,616.8,3084,Dromana,-38.359979100000004,144.9338501,59.35601792481944
3936,616.8,3084,Safety Beach,-38.4199773,144.83117,67.16468175791104
3936,616.8,3084,Arthurs Seat,-38.35716,145.12594484191,60.27778248728219
3975,627.8,3139,Lynbrook,-38.0558639,145.2561128,35.10043390453725
3975,627.8,3139,Lyndhurst,-30.288044,138.3487822,1036.9177416895222
3041,639.0,3195,Essendon Fields,-37.73847620000001,144.90120269999997,12.082216976155449
3041,639.0,3195,Essendon North,-37.75464,144.883441718625,11.730200489866993
3041,639.0,3195,Strathmore,-37.7133663,144.8969057,14.646143537193828
3041,639.0,3195,Strathmore Heights,-37.780755299999996,144.935503,6.503304125240192
3026,648.2,3241,Laverton North,-37.8686285,144.59501269999998,34.1076985263088
3033,674.4,3372,Keilor East,-37.7383776,144.8561207,14.72089695026324
3133,677.2,3386,Vermont,-37.8384616,145.19934709999998,19.3195724631302
3133,677.2,3386,Vermont,-37.854386,145.1878065,18.507827408943267
3133,677.2,3386,Vermont South,-37.639111,145.0266224,21.360149900806718
3078,686.0,3430,Alphington,-37.780399200000005,145.0308824,6.90079582597212
3078,686.0,3430,Fairfield,-37.7845032,145.0158191,5.737630757655581
3055,708.2,3541,Brunswick West,-37.744975200000006,144.9643314,9.286227555285993
3057,725.4,3627,Brunswick East,-37.7633334,144.9425563,7.859860328314877
3146,730.6,3653,Glen Iris,-37.855814,145.06461169999997,8.080731688835469
3137,737.4,3687,Kilsyth,-37.8037844,145.3134593,29.4317579160908
3137,737.4,3687,Kilsyth South,-37.8315054,145.31100080000002,29.094559858715854
3137,737.4,3687,Kilsyth,-37.7576639,145.352405,33.65518310449569
3912,744.2,3721,Pearcedale,-38.2015815,145.242198,47.53052646627598
3912,744.2,3721,Somerville,-38.263700799999995,145.1871641,51.79773496763506
3206,748.2,3741,Albert Park,-37.8702943,144.9947414,4.92986981143328
3206,748.2,3741,Middle Park,-37.877797799999996,144.99527780000003,5.7497470152241625
3079,770.6,3853,Ivanhoe,-34.259202,118.8425669,2375.8932765539707
3079,770.6,3853,Ivanhoe East,-37.7733903,145.0617815,9.388215653509883
3132,771.8,3859,Mitcham,-37.8384616,145.19934709999998,19.3195724631302
3197,780.6,3903,Carrum,-38.083045,145.180350343773,33.416977533660976
3197,780.6,3903,Patterson Lakes,-38.069449299999995,145.14323290000002,30.48271493778736
3085,781.6,3908,Macleod,-23.72083,113.6817,3354.7825010915953
3085,781.6,3908,Yallambie,-37.7251655,145.09352180000002,15.151179197713597
3190,791.4,3957,Highett,-37.9504036,145.039797,14.641688031018582
3142,799.2,3996,Toorak,-37.854522700000004,144.9921665,3.1881129065446614
3125,799.4,3997,Burwood,-37.8822799,145.1001365,12.191087636859582
3185,799.6,3998,Gardenvale,-37.8981194,145.00918240000001,8.25993098284325
3185,799.6,3998,Elsternwick,-37.885842499999995,145.00701519999998,6.9075527732479785
3185,799.6,3998,Gardenvale,-37.8981194,145.00918240000001,8.25993098284325
3185,799.6,3998,Ripponlea,-37.8638261,144.981637,4.036984665940247
3109,800.6,4003,Doncaster East,-37.7788744,145.1638815,17.054901883609062
3147,806.0,4030,Ashburton,-37.867358200000005,145.0806524,9.897914151980189
3147,806.0,4030,Ashwood,-37.85565995,145.09844123094,10.874877690683174
3194,818.0,4090,Mentone,-37.9813669,145.0689511,18.809748807659982
3194,818.0,4090,Moorabbin Airport,-37.97746179999999,145.09952969999998,19.70553872606681
3052,825.2,4126,Parkville,-37.83336129999999,144.9219203,5.130512016573934
3165,825.4,4127,Bentleigh East,-37.9220201,145.0665529,12.974077046649475
3200,828.6,4143,Frankston North,-38.1228524,145.1609788,36.48207124758804
3013,835.4,4177,Yarraville,-37.8180051,144.8819389,8.668368022105742
3162,860.4,4302,Caulfield,-37.882265000000004,145.022462837409,7.1432031125434925
3162,860.4,4302,Caulfield South,-37.894698999999996,145.02493230000002,8.451973005586892
3144,864.4,4322,Kooyong,-37.8576088,145.0350666,5.889642427138956
3144,864.4,4322,Malvern,-37.876835,145.0658739,9.333161314845613
3002,875.6,4378,East Melbourne,-37.812498,144.9858851,1.7568131942115992
3169,887.4,4437,Clarinda,-37.943109299999996,145.1060206,16.965908046366412
3169,887.4,4437,Clayton South,-37.9430924,145.125236,18.11084074205714
3135,892.0,4460,Heathmont,-37.8305406,145.2442572,23.230289562109252
3135,892.0,4460,Ringwood East,-37.813080799999994,145.2530126,24.053892360396954
3172,906.6,4533,Springvale South,-37.9708611,145.14786919999997,21.7140430109195
